open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-10-29,31.6150,33.2000,31.2380,32.8260,21937285,2023-10-29 23:59:59.999,710126824.3950,1009512,10999775,356126395.4780,0
2023-10-30,32.8280,35.4090,32.2560,34.9580,39343996,2023-10-30 23:59:59.999,1347145479.9340,1896987,19965545,683785367.6340,0
2023-10-31,34.9580,38.6190,34.8320,38.3720,51827939,2023-10-31 23:59:59.999,1885858489.8430,2520840,26586323,967948622.9290,0
2023-11-01,38.3730,46.8000,37.7590,41.2040,128999836,2023-11-01 23:59:59.999,5312567511.3270,6554793,64628756,2662937027.4680,0
2023-11-02,41.2030,44.5590,38.6460,40.2510,93896013,2023-11-02 23:59:59.999,3914225130.2950,4703770,46394560,1934343007.7360,0
2023-11-03,40.2480,40.3150,37.9170,39.4970,60242220,2023-11-03 23:59:59.999,2354990965.5070,2962822,29902147,1169395875.5600,0
2023-11-04,39.4970,42.7850,39.0350,42.4220,41620866,2023-11-04 23:59:59.999,1722886849.2840,2196841,20635256,854186124.0510,0
2023-11-05,42.4220,42.8960,40,41.1670,27154611,2023-11-05 23:59:59.999,1126256881.8620,1456937,13051185,541544991.1970,0
2023-11-06,41.1670,42.2410,39.6560,42.1810,30320575,2023-11-06 23:59:59.999,1230762608.5460,1591365,14723571,597877511.8920,0
2023-11-07,42.1800,45,40.0870,42.9760,53089394,2023-11-07 23:59:59.999,2242427731.4420,2808578,26281173,1110895737.1230,0
2023-11-08,42.9760,43.9130,42.2700,43.1420,29049408,2023-11-08 23:59:59.999,1252652663.6100,1575810,14116192,608848456.4560,0
2023-11-09,43.1380,49,40.9120,45.3050,78924104,2023-11-09 23:59:59.999,3596384464.9740,3847720,38907967,1774446566.4600,0
2023-11-10,45.3050,57.5730,45.0550,56.6790,79240437,2023-11-10 23:59:59.999,4033379572.1990,4890131,39758240,2024956644.5840,0
2023-11-11,56.6790,64.0360,53.5380,56.4090,92327880,2023-11-11 23:59:59.999,5374392642.5160,6301798,45500459,2649562074.9230,0
2023-11-12,56.4090,61.9430,54.4800,56.3150,60960749,2023-11-12 23:59:59.999,3537448710.4680,4715418,29664070,1721491274.6490,0
2023-11-13,56.3150,59.9590,51.5540,51.6620,68959890,2023-11-13 23:59:59.999,3870034753.3780,4972840,33448389,1878468118.9540,0
2023-11-14,51.6610,58.1910,51.1660,56.8490,67282542,2023-11-14 23:59:59.999,3689371085.5050,4836015,33097760,1815755070.1440,0
2023-11-15,56.8420,67.2280,56.1600,65.5060,64787365,2023-11-15 23:59:59.999,4009528121.0120,4963988,32737200,2026859005.6240,0
2023-11-16,65.5060,68.3560,56.4000,57.8420,66625919,2023-11-16 23:59:59.999,4191880623.3460,5269861,32353876,2036867101.6160,0
2023-11-17,57.8420,60.6180,54.0930,58.4900,57680465,2023-11-17 23:59:59.999,3327328329.0960,4408484,28142832,1623735088.1940,0
2023-11-18,58.4980,59.4000,54.7000,58.5810,35164566,2023-11-18 23:59:59.999,2018459560.8510,2650582,17254007,990722614.6220,0
2023-11-19,58.5810,62.1510,56.5760,61.0990,35510319,2023-11-19 23:59:59.999,2128896662.2030,2594931,17691725,1060616112.4790,0
2023-11-20,61.0990,61.3580,55.9610,56.6030,42246854,2023-11-20 23:59:59.999,2487953681.9100,2951882,20442418,1204339601.1750,0
2023-11-21,56.6030,57.4110,51.2000,51.6820,54102492,2023-11-21 23:59:59.999,2959068692.3360,3870083,26611204,1456258096.3310,0
2023-11-22,51.6840,58.9230,51.4790,57.5790,36385358,2023-11-22 23:59:59.999,2016123471.4500,2425628,18305990,1014188692.2030,0
2023-11-23,57.5750,59.6880,56.1210,56.5370,28977898,2023-11-23 23:59:59.999,1671040805.6850,1984309,14158002,816621728.3560,0
2023-11-24,56.5390,58.8400,56.1960,56.8690,23562196,2023-11-24 23:59:59.999,1357558047.6200,1642505,11679979,673045320.1660,0
2023-11-25,56.8690,59.8690,55.6300,58.8300,21994291,2023-11-25 23:59:59.999,1285781111.0690,1492867,10940423,639844350.9680,0
2023-11-26,58.8300,59.0640,56.1000,57.5930,19194071,2023-11-26 23:59:59.999,1106335621.3800,1295029,9492857,547268774.6900,0
2023-11-27,57.5930,58.1100,53.4120,55.0300,28787690,2023-11-27 23:59:59.999,1591700986.9180,1876063,13900929,768737588.5730,0
2023-11-28,55.0300,58.6700,53.9230,58.1830,28476261,2023-11-28 23:59:59.999,1605329671.3440,1791381,14201722,800661302.5850,0
2023-11-29,58.1840,61.7990,57.7440,59.3240,34572769,2023-11-29 23:59:59.999,2070136566.6450,2291975,17275808,1034497963.5650,0
2023-11-30,59.3240,61.7620,58.7380,59.3090,26126998,2023-11-30 23:59:59.999,1567025717.0890,1838545,13008193,780355645.2000,0
2023-12-01,59.3090,61.9370,58.5850,59.7500,28582330,2023-12-01 23:59:59.999,1730472334.0720,1765626,14216906,861003203.4380,0
2023-12-02,59.7490,63.9540,59.6700,63.6840,25070948,2023-12-02 23:59:59.999,1556209243.5470,1464011,12781319,793378061.2170,0
2023-12-03,63.6840,65.6220,62.2340,63.0150,24796411,2023-12-03 23:59:59.999,1579060258.0700,1419991,12150437,773831532.1000,0
2023-12-04,63.0200,65.3400,59,61.6710,36503268,2023-12-04 23:59:59.999,2278288979.1810,2216097,17650966,1101759409.3690,0
2023-12-05,61.6710,62.6610,59.1040,61.0610,29147610,2023-12-05 23:59:59.999,1769448911.5550,1838719,14207295,862781804,0
2023-12-06,61.0580,66.7970,61.0480,61.8780,46533462,2023-12-06 23:59:59.999,2963315502.9610,3106342,22859213,1456020597.4150,0
2023-12-07,61.8780,69.5460,61.6570,67.8060,42616421,2023-12-07 23:59:59.999,2774061455.0240,2919086,21336477,1389460451.0730,0
2023-12-08,67.8070,75.4600,67.8060,74.9800,43934782,2023-12-08 23:59:59.999,3166430223.1410,3162273,22015820,1586930696.8770,0
2023-12-09,74.9790,77.8790,71.4720,72.3680,35549685,2023-12-09 23:59:59.999,2674281736.7490,2539758,17333299,1304377201.6900,0
2023-12-10,72.3700,74.9610,70.7280,74.9070,23789917,2023-12-10 23:59:59.999,1736343648.5940,1765538,11801663,861467299.5950,0
2023-12-11,74.9040,75.0240,63.5010,70.2860,49937701,2023-12-11 23:59:59.999,3470107802,3594211,24168534,1679922501.7010,0
2023-12-12,70.2820,72.4790,65.7890,68.6440,31474825,2023-12-12 23:59:59.999,2191222766.8890,2362572,15391894,1071958174.6700,0
2023-12-13,68.6350,72.6660,63.6400,70.6680,31564908,2023-12-13 23:59:59.999,2135279555.4580,2413596,15194807,1028736786.7720,0
2023-12-14,70.6690,76.3150,67,75.7510,32617464,2023-12-14 23:59:59.999,2362090365.8850,2397063,16297897,1181239186.0520,0
2023-12-15,75.7510,79.6790,72.1660,72.5520,35683703,2023-12-15 23:59:59.999,2717438061.6840,2719336,17733808,1351115729.7260,0
2023-12-16,72.5580,77.2400,71.2200,73.7370,21559021,2023-12-16 23:59:59.999,1607075724.6090,1718193,10568989,788166787.6520,0
2023-12-17,73.7360,75.1490,70.5510,70.9020,21020260,2023-12-17 23:59:59.999,1533712101.1220,1703227,10138651,739994051.3870,0
2023-12-18,70.9020,75.5150,66.8510,74.4290,30396194,2023-12-18 23:59:59.999,2145130119.8140,2522604,14902554,1052247236.1140,0
2023-12-19,74.4280,76.3840,71.8000,73.0400,24638427,2023-12-19 23:59:59.999,1832596478.5600,2096461,12179894,906258170.3020,0
2023-12-20,73.0300,84.1900,72.9820,82.2430,42091362,2023-12-20 23:59:59.999,3322490086.5000,3762888,21436345,1691898245.9300,0
2023-12-21,82.2430,95.8170,81.0500,93.9270,46777766,2023-12-21 23:59:59.999,4140742197.8990,4826409,23674911,2096931759.1040,0
2023-12-22,93.9290,99.7330,90.5120,97.9620,47249988,2023-12-22 23:59:59.999,4511664714.6950,5118326,23379512,2232866208.7860,0
